id,titulo,data_lancamento,popularidade,nota_media,votos,idioma,generos
"541671,Bailarina - Do Universo de John Wick,2025-06-04,763.892,7.346,777,en,""Ação, Thriller, Crime"""
"846422,The Old Guard 2,2025-07-01,748.939,6.159,308,en,""Ação, Fantasia"""
"986056,Thunderbolts*,2025-04-30,602.2079,7.4,1629,en,""Ação, Ficção científica, Aventura"""
"749170,Chefes de Estado,2025-07-02,599.1112,7.0,266,en,""Ação, Thriller, Comédia"""
"1119878,Missão Resgate 2: Vingança,2025-06-27,575.9321,6.958,71,en,""Ação, Thriller, Drama"""
"1234821,Jurassic World: Recomeço,2025-07-01,419.6887,6.39,369,en,""Ficção científica, Aventura, Ação"""
"574475,Premonição 6: Laços de Sangue,2025-05-14,293.9397,7.2,1528,en,""Terror, Mistério"""
1151031,Faça Ela Voltar,2025-05-28,280.139,7.274,195,en,Terror
"552524,Lilo & Stitch,2025-05-17,243.9497,7.135,802,en,""Família, Ficção científica, Comédia, Aventura"""
"803796,Guerreiras do K-Pop,2025-06-20,226.7064,8.6,481,en,""Animação, Fantasia, Ação, Comédia, Música"""
"1287536,Dora e a Busca pelo Sol Dourado,2025-07-02,219.2418,6.9,26,en,""Aventura, Comédia, Família"""
"1246369,室町無頼,2025-01-17,218.5835,9.1,8,ja,""Ação, Drama"""
1278950,O Ritual,2025-04-18,209.0351,6.085,82,en,Terror
"1087192,Como Treinar o Seu Dragão,2025-06-06,200.2922,7.902,584,en,""Fantasia, Família, Ação"""
"911430,F1 - O Filme,2025-06-25,195.9482,7.665,594,en,""Ação, Drama"""
"1233413,Pecadores,2025-04-16,134.8552,7.559,1879,en,""Terror, Ação, Thriller"""
"605722,Long Distance,2024-07-12,133.8274,6.367,154,en,""Ficção científica, Comédia, Ação"""
"1311844,The Twisters,2024-06-28,128.5091,5.858,53,en,""Ação, Aventura, Drama"""
"7451,Triplo X,2002-08-09,126.0458,5.945,4453,en,""Ação, Aventura, Thriller, Crime"""
"1100988,Extermínio: A Evolução,2025-06-18,120.4782,7.2,536,en,""Terror, Thriller, Ficção científica"""
"950387,Um Filme Minecraft,2025-03-31,119.4086,6.461,2015,en,""Família, Comédia, Aventura, Fantasia"""
"1061474,Superman,2025-07-09,112.9104,5.682,22,en,""Ficção científica, Aventura, Ação"""
"575265,Missão: Impossível - O Acerto Final,2025-05-17,111.2379,7.2,908,en,""Ação, Aventura, Thriller"""
"1442776,Kuang Bao Ju Xi,2024-03-27,110.5567,6.042,24,zh,""Ação, Thriller, Terror"""
"1090007,Dose Dupla,2024-08-30,109.1247,5.667,27,en,""Crime, Thriller, Ação"""
"1127110,Diablo: Caçada Mortal,2025-06-13,102.8715,7.186,70,en,""Ação, Thriller"""
1412113,Round 6: Temporada 2 - Making Of,2025-01-02,101.9965,8.498,417,ko,Documentário
"1087891,Operação Vingança,2025-04-09,101.8252,7.004,734,en,""Thriller, Ação"""
"1071585,M3GAN 2.0,2025-06-25,96.4968,7.2,119,en,""Ação, Ficção científica, Thriller"""
"1426776,Até a Última Gota,2025-06-05,87.6636,7.939,716,en,""Thriller, Drama, Crime"""
"1403735,లైలా,2025-02-14,85.5799,5.8,5,te,""Comédia, Romance"""
"611251,女高生トリオ 性感試験,1977-02-23,85.1408,7.3,3,ja,""Romance, Drama"""
"1181039,鬼吹灯：献王虫谷,2023-09-22,81.3896,6.667,21,zh,""Ação, Aventura, Terror"""
"1376434,Predador: Assassino de Assassinos,2025-06-05,79.8428,8.0,689,en,""Animação, Ação, Ficção científica, Thriller"""
"713364,O Palhaço no Milharal,2025-05-08,76.3579,6.3,154,en,""Terror, Mistério, Thriller"""
"547016,The Old Guard,2020-07-09,76.1433,7.14,4404,en,""Ação, Fantasia"""
"1197306,Resgate Implacável,2025-03-26,75.391,6.689,1346,en,""Ação, Crime, Thriller"""
"870028,O Contador 2,2025-04-23,74.6998,7.197,1056,en,""Mistério, Crime, Thriller"""
"507086,Jurassic World: Domínio,2022-06-01,71.6862,6.656,6480,en,""Aventura, Ação, Ficção científica"""
1504735,Conversando sobre Round 6,2025-06-26,70.3175,8.8,5,ko,Documentário
"1241982,Moana 2,2024-11-21,65.73,7.071,2533,en,""Animação, Aventura, Família, Comédia"""
"1450599,K.O.,2025-06-05,65.2504,6.566,181,fr,""Ação, Drama, Aventura"""
"584855,Злой город,2025-01-30,62.859,7.417,24,ru,""Drama, História, Ação"""
"822119,Capitão América: Admirável Mundo Novo,2025-02-12,61.0132,6.05,2341,en,""Ação, Thriller, Ficção científica"""
"1010581,Minha Culpa,2023-06-08,60.9488,7.798,3731,es,""Romance, Drama"""
"1239193,Improvisação Perigosa,2025-06-12,60.8514,6.7,281,en,""Ação, Comédia, Crime"""
"1284120,A Meia-irmã Feia,2025-03-07,59.7262,7.2,233,no,""Terror, Comédia, Fantasia, Drama"""
"447273,Branca de Neve,2025-03-12,59.7084,4.292,1236,en,""Família, Fantasia"""
"1063574,Misericórdia,2024-10-16,59.6834,6.342,98,fr,""Comédia, Drama, Thriller"""
"1470736,Open,2025-06-14,58.3554,6.0,4,en,""Terror, Comédia"""
1408248,오징어 게임: 벽난로,2024-12-12,58.1157,7.0,139,xx,Família
1363224,Fear Cabin: The Last Weekend of Summer,2024-09-27,57.8952,9.0,4,en,Terror
"351286,Jurassic World: Reino Ameaçado,2018-06-06,57.3691,6.542,12161,en,""Ação, Aventura, Ficção científica, Thriller"""
"715287,새엄마의 욕망,2020-05-29,54.927,7.3,22,ko,""Drama, Romance"""
"1241436,Tempo de Guerra,2025-04-09,54.7127,7.167,717,en,""Guerra, Ação"""
"666154,Kayara - A Princesa Inca,2025-01-02,54.6951,7.691,76,en,""Animação, Aventura, Família"""
"135397,Jurassic World: O Mundo dos Dinossauros,2015-06-06,53.6956,6.698,20806,en,""Ação, Aventura, Ficção científica, Thriller"""
"939243,Sonic 3: O Filme,2024-12-19,53.6325,7.693,2754,en,""Ação, Ficção científica, Comédia, Família"""
